Date,magnitude,depth ,age,epicenter,latitude,longitude
5/3/2020 19:36,4.9,10,56,Turkana,2.89°N,36.04°E 
3/24/2019 16:21,4.8,10,104,Taita Taveta,3.13°S,38.19°E
7/23/2017 1:23,2.9,NaN,208,Marsabit,3.298°N ,37.6039°E 
7/22/2017 18:14,2.4,35,208,Marsabit,2.2705°N,38.916°E
7/22/2017 4:47,1.6,12,208,Machakos,1.0515°S ,37.5187°E
7/22/2017 2:46,1.5,11,208,Machakos,1.0704°S,37.5033°E 
7/20/2017 3:45,1.9,1,208,Kitui,0.8667°S,37.966°E
7/19/2017 1:46,2.3,11,208,Kitui,1.0809°S,38.4144°E
7/19/2017 0:37,1.9,11,208,Machakos,1.4135°S,37.2826°E
7/13/2017 1:49,2.8,NaN,208,Turkana,2.2231°N,35.8759°E
7/12/2017 1:24,1.8,4,208,Kitui,0.5474°S ,38.0248°E
7/11/2017 17:21,2.2,10,208,Kitui,0.4802°S,37.9973°E
7/11/2017 3:18,4.8,16,208,Narok,1.7208°S,35.7688°E
7/9/2017 11:34,3.4,10,208,Marsabit,3.1645°N,36.4275°E
7/9/2017 5:32,2.1,11,208,Kitui,1.2251°S,38.0685°E
7/8/2017 10:42,4.6,10,208,Narok,1.6982°S,35.753°E
7/6/2017 3:28,2.2,12,208,Kitui,1.1452°S,38.1099°E
7/2/2017 17:19,2,10,208,Kitui,1.3399°S ,38.3089°E
7/2/2017 10:01,1.5,7,208,Kitui,1.2139°S,37.9967°E
6/30/2017 17:55,3.4,10,208,Samburu,2.2453°N,36.6038°E
6/28/2017 9:18,1.7,NaN,208,Kitui,1.5304°S,37.8622°E
6/27/2017 7:26,1.8,10,208,Kitui,1.1411°S,37.8878°E
6/27/2017 5:41,3.8,10,208,Turkana,3.6757°N,36.5192°E
6/23/2017 3:52,2,25,208,Isiolo,0.5191°N,38.1381°E
6/13/2017 21:29,3.1,NaN,208,Narok,0.7555°S,35.8451°E
6/10/2017 10:33,1.6,NaN,208,Kitui,1.4916°S,37.9123°E
6/8/2017 13:40,3.4,1,208,Marsabit,3.0131°N,36.3694°E
6/7/2017 9:38,2.2,12,208,Kitui,1.3105°S,37.8189°E
6/6/2017 15:56,2.2,11,208,Kajiado,1.5838°S,36.2666°E
6/5/2017 9:07,1.8,6,208,Kitui,1.2984°S,38.1959°E
